epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3525.42,0.99767,0.65864,1.27548,0.86316,0.78972,0.86105,0.6065,1.17317,0.80865,1.45149,0.000351271,0.000351271,0.000351271
63,3581.72,0.98298,0.63595,1.26387,0.83209,0.8465,0.86671,0.60567,1.18137,0.78427,1.44802,0.00034739,0.00034739,0.00034739
64,3638.51,0.96437,0.61577,1.24626,0.85067,0.78926,0.84472,0.58592,1.18096,0.84524,1.44723,0.00034351,0.00034351,0.00034351
65,3694.63,0.95495,0.6136,1.25249,0.83166,0.82979,0.86988,0.60894,1.16824,0.78529,1.44162,0.000339629,0.000339629,0.000339629
66,3750.32,0.95337,0.61899,1.24371,0.84189,0.83121,0.8647,0.60721,1.16506,0.77777,1.44198,0.000335748,0.000335748,0.000335748
67,3807.25,0.94881,0.62215,1.23918,0.78106,0.84404,0.85487,0.59875,1.17164,0.8119,1.44001,0.000331867,0.000331867,0.000331867
68,3863.07,0.9608,0.62044,1.24326,0.85051,0.80866,0.8675,0.60727,1.15488,0.76854,1.42008,0.000327986,0.000327986,0.000327986
69,3918.2,0.95996,0.6267,1.23901,0.82725,0.83262,0.86139,0.60128,1.14272,0.78399,1.41523,0.000324106,0.000324106,0.000324106
70,3974.66,0.92586,0.59011,1.22614,0.84034,0.84577,0.87018,0.60886,1.16748,0.78111,1.44868,0.000320225,0.000320225,0.000320225
71,4030.78,0.91793,0.59709,1.22376,0.86222,0.80363,0.86301,0.60771,1.16598,0.83609,1.44056,0.000316344,0.000316344,0.000316344
72,4086.09,0.92168,0.58267,1.2276,0.85361,0.80637,0.86906,0.61199,1.17099,0.79004,1.45245,0.000312463,0.000312463,0.000312463
73,4142.6,0.92429,0.58712,1.22208,0.84793,0.81071,0.86548,0.60549,1.17241,0.78827,1.44054,0.000308582,0.000308582,0.000308582
74,4199.28,0.89794,0.56453,1.21387,0.85177,0.79744,0.85752,0.60977,1.15033,0.81611,1.4348,0.000304702,0.000304702,0.000304702
75,4254.93,0.92081,0.57593,1.22514,0.87747,0.80208,0.86379,0.61006,1.15911,0.80768,1.44181,0.000300821,0.000300821,0.000300821
